"B [mm]","L [mm]","R1 [mm]","R2 [mm]","Freq [GHz]","dB(S(1,1)) []"
16,15.5,5.6,7.1,6.42,-1.86746981041464
16,15.5,5.6,7.1,6.44,-1.81524091893829
16,15.5,5.6,7.1,6.46,-1.76924467399658
16,15.5,5.6,7.1,6.48,-1.72896886828394
16,15.5,5.6,7.1,6.5,-1.69397714197039
16,15.5,5.9,5.6,5.5,-1.83788427617717
16,15.5,5.9,5.6,5.52,-1.99509525693197
16,15.5,5.9,5.6,5.54,-2.17729319675298
16,15.5,5.9,5.6,5.56,-2.38946395805267
16,15.5,5.9,5.6,5.58,-2.63783543762524
16,15.5,5.9,5.6,5.6,-2.93024093342199
16,15.5,5.9,5.6,5.62,-3.27660431253857
16,15.5,5.9,5.6,5.64,-3.68959503346669
16,15.5,5.9,5.6,5.66,-4.1855271210883
16,15.5,5.9,5.6,5.68,-4.78562486466269
16,15.5,5.9,5.6,5.7,-5.51787633969728
16,15.5,5.9,5.6,5.72,-6.41990635137496
16,15.5,5.9,5.6,5.74,-7.54376848115993
16,15.5,5.9,5.6,5.76,-8.96461963435735
16,15.5,5.9,5.6,5.78,-10.7976278056657
16,15.5,5.9,5.6,5.8,-13.2317315008876
16,15.5,5.9,5.6,5.82,-16.57766548981
16,15.5,5.9,5.6,5.84,-20.9325253023709
16,15.5,5.9,5.6,5.86,-22.1110622365869
16,15.5,5.9,5.6,5.88,-18.0640909367572
16,15.5,5.9,5.6,5.9,-14.5559596251563
16,15.5,5.9,5.6,5.92,-12.0446012298107
16,15.5,5.9,5.6,5.94,-10.1862662658844
16,15.5,5.9,5.6,5.96,-8.75844924110848
16,15.5,5.9,5.6,5.98,-7.62973056237491
16,15.5,5.9,5.6,6,-6.71830704855811
16,15.5,5.9,5.6,6.02,-5.97026616341063
16,15.5,5.9,5.6,6.04,-5.34835923423607
16,15.5,5.9,5.6,6.06,-4.82586785256403
16,15.5,5.9,5.6,6.08,-4.38304680059966
16,15.5,5.9,5.6,6.1,-4.00494976374456
16,15.5,5.9,5.6,6.12,-3.68003978620867
16,15.5,5.9,5.6,6.14,-3.39926721199605
16,15.5,5.9,5.6,6.16,-3.15543788775662
16,15.5,5.9,5.6,6.18,-2.94276812489324
16,15.5,5.9,5.6,6.2,-2.75656362774024
16,15.5,5.9,5.6,6.22,-2.59298301201979
16,15.5,5.9,5.6,6.24,-2.44886048615405
16,15.5,5.9,5.6,6.26,-2.32157083224963
16,15.5,5.9,5.6,6.28,-2.20892522698056
16,15.5,5.9,5.6,6.3,-2.10908993823025
16,15.5,5.9,5.6,6.32,-2.0205222484633
16,15.5,5.9,5.6,6.34,-1.94191952330302
16,15.5,5.9,5.6,6.36,-1.87217842730398
16,15.5,5.9,5.6,6.38,-1.81036205239036
16,15.5,5.9,5.6,6.4,-1.75567327195151
16,15.5,5.9,5.6,6.42,-1.70743303253105
16,15.5,5.9,5.6,6.44,-1.66506258990148
16,15.5,5.9,5.6,6.46,-1.62806891701658
16,15.5,5.9,5.6,6.48,-1.59603267838585
16,15.5,5.9,5.6,6.5,-1.56859829311484
16,15.5,5.9,5.9,5.5,-1.95013227409865
16,15.5,5.9,5.9,5.52,-2.12308203311211
16,15.5,5.9,5.9,5.54,-2.32366114448344
16,15.5,5.9,5.9,5.56,-2.55741483120969
16,15.5,5.9,5.9,5.58,-2.83126677790032
16,15.5,5.9,5.9,5.6,-3.15391964151576
16,15.5,5.9,5.9,5.62,-3.5363889568926
16,15.5,5.9,5.9,5.64,-3.99272380545078
16,15.5,5.9,5.9,5.66,-4.54099812273474
16,15.5,5.9,5.9,5.68,-5.20471440663567
16,15.5,5.9,5.9,5.7,-6.0148778607823
16,15.5,5.9,5.9,5.72,-7.01323912290429
16,15.5,5.9,5.9,5.74,-8.25769398495019
16,15.5,5.9,5.9,5.76,-9.83173081332104
16,15.5,5.9,5.9,5.78,-11.8606034207769
16,15.5,5.9,5.9,5.8,-14.5283944998133
16,15.5,5.9,5.9,5.82,-17.9677166315812
16,15.5,5.9,5.9,5.84,-20.8740874163787
16,15.5,5.9,5.9,5.86,-19.2906440604512
16,15.5,5.9,5.9,5.88,-15.8887829656296
16,15.5,5.9,5.9,5.9,-13.13826755404
16,15.5,5.9,5.9,5.92,-11.0691560557425
16,15.5,5.9,5.9,5.94,-9.48079675541521
16,15.5,5.9,5.9,5.96,-8.22992724165699
16,15.5,5.9,5.9,5.98,-7.22373605945184
16,15.5,5.9,5.9,6,-6.40064008110319
16,15.5,5.9,5.9,6.02,-5.71820176114962
16,15.5,5.9,5.9,6.04,-5.1461391048529
16,15.5,5.9,5.9,6.06,-4.66219812726128
16,15.5,5.9,5.9,6.08,-4.24962046435665
16,15.5,5.9,5.9,6.1,-3.89552854439045
16,15.5,5.9,5.9,6.12,-3.5898592045049
16,15.5,5.9,5.9,6.14,-3.32463734477658
16,15.5,5.9,5.9,6.16,-3.09346749376169
16,15.5,5.9,5.9,6.18,-2.89116923123397
16,15.5,5.9,5.9,6.2,-2.71351016554917
16,15.5,5.9,5.9,6.22,-2.5570067014442
16,15.5,5.9,5.9,6.24,-2.41877297141641
16,15.5,5.9,5.9,6.26,-2.29640467768604
16,15.5,5.9,5.9,6.28,-2.18788869508639
16,15.5,5.9,5.9,6.3,-2.09153198670712
16,15.5,5.9,5.9,6.32,-2.00590520121368
16,15.5,5.9,5.9,6.34,-1.92979756829489
16,15.5,5.9,5.9,6.36,-1.86218058192614
16,15.5,5.9,5.9,6.38,-1.80217858350595
16,15.5,5.9,5.9,6.4,-1.74904480790424
16,15.5,5.9,5.9,6.42,-1.70214178718393
16,15.5,5.9,5.9,6.44,-1.66092525405487
16,15.5,5.9,5.9,6.46,-1.62493087368621
16,15.5,5.9,5.9,6.48,-1.59376327474295
16,15.5,5.9,5.9,6.5,-1.5670869599694
16,15.5,5.9,6.2,5.5,-1.94541174820438
16,15.5,5.9,6.2,5.52,-2.11629091985932
16,15.5,5.9,6.2,5.54,-2.3141001527968
16,15.5,5.9,6.2,5.56,-2.54414209210343
16,15.5,5.9,6.2,5.58,-2.81300437250653
16,15.5,5.9,6.2,5.6,-3.12892092544686
16,15.5,5.9,6.2,5.62,-3.50224836613846
16,15.5,5.9,6.2,5.64,-3.94610025822954
16,15.5,5.9,6.2,5.66,-4.47720372007484
16,15.5,5.9,6.2,5.68,-5.11708128610723
16,15.5,5.9,6.2,5.7,-5.89373175228641
16,15.5,5.9,6.2,5.72,-6.84411178709325
16,15.5,5.9,6.2,5.74,-8.01791904671555
16,15.5,5.9,6.2,5.76,-9.48327902191489
16,15.5,5.9,6.2,5.78,-11.3334624183614
16,15.5,5.9,6.2,5.8,-13.6802626099065
16,15.5,5.9,6.2,5.82,-16.5225075279286
16,15.5,5.9,6.2,5.84,-18.9223423581819
16,15.5,5.9,6.2,5.86,-18.3677222118141
16,15.5,5.9,6.2,5.88,-15.7333859223822
16,15.5,5.9,6.2,5.9,-13.2060808247466
16,15.5,5.9,6.2,5.92,-11.1922704718759
16,15.5,5.9,6.2,5.94,-9.6105336418923
16,15.5,5.9,6.2,5.96,-8.35147871874779
16,15.5,5.9,6.2,5.98,-7.33302935419657
16,15.5,5.9,6.2,6,-6.49728866236196
16,15.5,5.9,6.2,6.02,-5.80308819099591
16,15.5,5.9,6.2,6.04,-5.22051731896986
16,15.5,5.9,6.2,6.06,-4.7273491538953
16,15.5,5.9,6.2,6.08,-4.3067249721275
16,15.5,5.9,6.2,6.1,-3.94562783067047
16,15.5,5.9,6.2,6.12,-3.63385235607545
16,15.5,5.9,6.2,6.14,-3.36329239515539
16,15.5,5.9,6.2,6.16,-3.12743700788723
16,15.5,5.9,6.2,6.18,-2.92100624174927
16,15.5,5.9,6.2,6.2,-2.73968283266605
16,15.5,5.9,6.2,6.22,-2.5799111631789
16,15.5,5.9,6.2,6.24,-2.43874433043433
16,15.5,5.9,6.2,6.26,-2.31372626734621
16,15.5,5.9,6.2,6.28,-2.2027998337719
16,15.5,5.9,6.2,6.3,-2.1042344378753
16,15.5,5.9,6.2,6.32,-2.01656854055676
16,15.5,5.9,6.2,6.34,-1.93856363476401
16,15.5,5.9,6.2,6.36,-1.8691671633563
16,15.5,5.9,6.2,6.38,-1.80748246328661
16,15.5,5.9,6.2,6.4,-1.75274427771032
